sentiment_bucket,direction,trades,accounts,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl,median_net_pnl,win_rate,avg_pnl_per_1000_usd,realized_trades,avg_size_usd,avg_start_position_abs,net_pnl_per_trade,fee_share_of_gross_abs_pnl
Extreme Fear,Buy,807,10,1194368.16,0.0,227.7943223869,-227.7943223869,-0.2822730141101611,-0.01119,0.0,-0.5714558566338426,0,1480.0101115241634,60628.38755941689,-0.2822730141101611,inf
Extreme Fear,Close Long,6241,24,42635958.85,506752.789816,9341.87964,497410.91017600003,79.70051436885115,12.174579,0.8464989585002404,16.84635713873814,6241,6831.590906905944,36438.42391287614,79.70051436885115,0.018434786798888665
Extreme Fear,Close Short,3117,22,12393421.55,384638.543343,2489.187792,382149.355551,122.6016540105871,2.628979,0.7058068655758742,26.958777304750292,3117,3976.073644529997,172313.65735888356,122.6016540105871,0.006471498592849745
Extreme Fear,Long > Short,5,3,4261.54,6.659778,0.5890880000000001,6.070690000000001,1.2141380000000002,-0.008605000000000002,1.0,1.0286712566875895,5,852.308,76.464,1.2141380000000002,0.08845460013832293
Extreme Fear,Open Long,7005,26,42461713.38,0.0,8394.270155,-8394.270155,-1.1983255039257674,-0.084068,0.0,-0.1645151627143484,0,6061.629319057816,45209.22812499929,-1.1983255039257674,inf
Extreme Fear,Open Short,3174,23,13932592.87,0.0,3036.31184,-3036.31184,-0.9566199873976055,-0.1000595,0.0,-0.19568962974241755,0,4389.600778197857,36730.44183932262,-0.9566199873976055,inf
Extreme Fear,Sell,1042,10,1470417.82,-140692.642805,353.993018,-141046.635823,-135.36145472456812,-1.7717770000000002,0.42034548944337813,-95.34963154382602,1037,1411.1495393474088,10525.517620726672,-135.36145472456812,0.002516073413239058
Extreme Fear,Short > Long,6,3,391526.58,-11595.101642000001,44.608084,-11639.709726000003,-1939.9516210000004,62.1669285,0.8333333333333334,54.52160699400372,6,65254.43,1858.8215166666669,-1939.9516210000004,0.003847149027001172
Extreme Fear,Spot Dust Conversion,3,2,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22999999999999998,0.015448826666666667,0.0,
Fear,Buy,3207,15,5245263.2,0.0,1476.2693321548,-1476.2693321548,-0.460327200547178,-0.0103,0.0,-5.539469040764493,0,1635.5669473027751,64237.02841130887,-0.460327200547178,inf
Fear,Close Long,17260,29,159250581.29,1432581.917537,30006.736099,1402575.181438,81.26159799756662,6.48501,0.8988991888760139,18.80416586874332,17260,9226.569020278099,91544.51941675898,81.26159799756662,0.0209459129224455
Fear,Close Short,9221,23,75309305.27,1914986.462243,15644.837207,1899341.625036,205.980004884069,7.4050959999999995,0.861620214727253,66.48871552088183,9212,8167.151639735386,147515.59817897517,205.980004884069,0.008169685538494823
Fear,Long > Short,14,6,361187.44,67.13898200000017,52.778559,14.360423000000083,1.0257445000000058,-0.143675,0.6428571428571429,0.08481349682375772,14,25799.102857142858,23.46767857142857,1.0257445000000058,0.7861090148790142
Fear,Open Long,17824,28,166006836.42,0.0,28261.843004,-28261.843004,-1.5856060931328544,-0.10594899999999999,0.0,-0.18624110010850323,0,9313.669009201076,59510.199182455115,-1.5856060931328544,inf
Fear,Open Short,10887,24,72335082.91,0.0,15713.299001,-15713.299001,-1.4433084413520711,-0.138606,0.0,-0.2229771251511752,0,6644.170378432993,88618.44376780013,-1.4433084413520711,inf
Fear,Sell,3364,17,4536180.19,-10567.053935,1241.291164,-11808.345098999998,-3.510209601367419,1.6273135,0.753269916765755,1.6462644048950572,3304,1348.4483323424495,4961.096969290215,-3.510209601367419,0.11746804470152447
Fear,Short > Long,18,7,280341.22,20086.976814999998,59.894308,20027.082507,1112.6156948333332,32.185939,0.8888888888888888,170.7437469591096,18,15574.51222222222,2150.2936072222224,1112.6156948333332,0.0029817482516967804
Fear,Spot Dust Conversion,42,10,11.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.28214285714285714,4587.302030408453,0.0,
Neutral,Buy,2885,14,4533327.35,0.0,628.8015868708,-628.8015868708,-0.21795548938329287,-0.007,0.0,-2.8260970247541293,0,1571.3439688041592,46593.52614808788,-0.21795548938329287,inf
Neutral,Close Long,9993,23,75999621.93,527788.159351,15732.829252,512055.330099,51.241401991293905,3.355653,0.8613029120384269,11.657579838710392,9985,7605.2858931251885,120183.23200492244,51.241401991293905,0.02980898486117239
Neutral,Close Short,5850,19,20815400.25,554558.432744,5396.556843,549161.875901,93.87382494034188,7.433584,0.7765811965811966,37.844939719967165,5849,3558.188076923077,135872.6102983487,93.87382494034188,0.009731268202518174
Neutral,Long > Short,15,7,187224.95,709.982894,41.530206,668.452688,44.56351253333333,0.179946,0.7333333333333333,3.253861228415604,15,12481.663333333334,279.402,44.56351253333333,0.05849465719662818
Neutral,Open Long,10222,23,48163197.56,0.0,10421.455318,-10421.455318,-1.0195123574642928,-0.0599975,0.0,-0.1722968828284742,0,4711.719581295246,29231.32611236842,-1.0195123574642928,inf
Neutral,Open Short,6353,20,26611622.53,0.0,6056.367373,-6056.367373,-0.9533082595624115,-0.155507,0.0,-0.2576300627642791,0,4188.827723909964,143292.3934472706,-0.9533082595624115,inf
Neutral,Sell,2346,14,3817114.71,210007.441755,1077.117066,208930.324689,89.05810941560102,5.214625,0.763000852514919,13.642395067827318,2298,1627.0736189258312,32561.909300086438,89.05810941560102,0.0051289471315811375
Neutral,Short > Long,12,5,114549.48999999999,-143.3411940000001,19.610659,-162.95185300000003,-13.579321083333335,14.524550999999999,0.8333333333333334,3.995337527316208,12,9545.790833333333,653.0211783333333,-13.579321083333335,0.13681104819037565
Neutral,Spot Dust Conversion,10,6,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.43099999999999994,1564.5207753299999,0.0,
Greed,Auto-Deleveraging,8,1,169507.75,57478.456026,0.0,57478.456026,7184.80700325,5237.9855575,1.0,341.9686619174635,8,21188.46875,25026.2375,7184.80700325,0.0
Greed,Buy,4685,16,8803186.13,0.0,768.3266061683,-768.3266061683,-0.16399714112450375,-0.00392695,0.0,-0.559427507335148,0,1879.015182497332,21765.60543461033,-0.16399714112450375,inf
Greed,Close Long,7998,24,76086336.03,711490.517659,16390.554439,695099.96322,86.90922270817705,6.282868,0.8629657414353589,31.925515534606983,7963,9513.17029632408,71035.43666170418,86.90922270817705,0.02303692604777003
Greed,Close Short,11322,22,51702249.45,624923.401153,11919.693471,613003.707682,54.14270514767709,2.653645,0.6885709238650415,13.905321581488264,11319,4566.529716481187,626649.9691873644,54.14270514767709,0.01907384720912652
Greed,Liquidated Isolated Short,1,1,32910.88,-12752.91304,0.0,-12752.91304,-12752.91304,-12752.91304,0.0,-387.49839080571536,1,32910.88,2455.6,-12752.91304,0.0
Greed,Long > Short,16,6,266185.16,363.390575,13.206033000000001,350.184542,21.886533875,1.1372935000000002,0.625,4.061243186692844,16,16636.5725,59.328611875,21.886533875,0.03634115441766755
Greed,Open Long,8544,25,94153051.47,0.0,22331.598228,-22331.598228,-2.6137170210674157,-0.194035,0.0,-0.22627837699665815,0,11019.785986657304,41887.50916308287,-2.6137170210674157,inf
Greed,Open Short,11664,23,46918524.63,0.0,9904.084168,-9904.084168,-0.8491155836762688,-0.11753,0.0,-0.2556279789800559,0,4022.5072556584364,144145.8444558745,-0.8491155836762688,inf
Greed,Sell,5986,18,10153613.58,766340.324487,1739.4689,764600.855587,127.73151613548279,9.660965000000001,0.7719679251587036,94.81051402754893,5846,1696.2267925158703,24707.36010571751,127.73151613548279,0.0022698386662145533
Greed,Settlement,1,1,782.83,-29.215368,0.0,-29.215368,-29.215368,-29.215368,0.0,-37.32019467828264,1,782.83,1092.0,-29.215368,0.0
Greed,Short > Long,23,7,296139.44,2315.311459,31.760134,2283.551325,99.2848402173913,9.43622,0.9130434782608695,10.175427853838084,22,12875.627826086957,2705.068876086956,99.2848402173913,0.013717434808411234
Greed,Spot Dust Conversion,55,12,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.134,129.17727004274545,0.0,
Extreme Greed,Buy,5132,21,11420652.2,0.0,663.79020315,-663.79020315,-0.1293433755163679,-0.00886048,0.0,-0.4336667989570348,0,2225.3803975058454,26010.636506836,-0.1293433755163679,inf
Extreme Greed,Close Long,7186,20,28240750.79,444316.003184,7090.524025,437225.479159,60.84406890606735,10.0847935,0.8876983022543835,25.691272091649047,7185,3929.9681032563317,129429.29659784025,60.84406890606735,0.015958290887991434
Extreme Greed,Close Short,6497,15,19491848.22,188221.27096300002,4793.606983,183427.66398,28.23267107588118,4.410198,0.8585501000461752,30.4869153158291,6489,3000.130555641065,68856.838024499,28.23267107588118,0.025467934407595795
Extreme Greed,Long > Short,7,3,73063.01,844.206779,12.479369,831.72741,118.81820142857143,3.490202,0.8571428571428571,8.763195277594962,7,10437.572857142857,119898.52571428572,118.81820142857143,0.014782360566663965
Extreme Greed,Open Long,6300,20,29386636.08,0.0,7443.255809,-7443.255809,-1.1814691760317462,-0.1484335,0.0,-0.22996271040507368,0,4664.545409523809,31367.725961250795,-1.1814691760317462,inf
Extreme Greed,Open Short,7663,17,25687039.64,0.0,5257.882025,-5257.882025,-0.6861388522771761,-0.097585,0.0,-0.2741344483988992,0,3352.086603158032,33154.55128873026,-0.6861388522771761,inf
Extreme Greed,Sell,7164,19,10131467.81,2081660.346131,1762.915157,2079897.430974,290.32627456365157,12.920425999999999,0.9243439419318816,169.3384511632118,7161,1414.219403964266,30710.373105801216,290.32627456365157,0.0008468793481494597
Extreme Greed,Short > Long,11,4,33705.51,129.483616,6.211894,123.27172200000001,11.206520181818183,0.5988179999999999,0.8181818181818182,2.315506071349019,11,3064.137272727273,83.02608545454547,11.206520181818183,0.04797436302674772
Extreme Greed,Spot Dust Conversion,32,9,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0409375,0.279636366875,0.0,
